"date","region","cases","cumulative_cases"
2020-05-26,"Central (excluding Saskatoon)",0,12
2020-05-26,"Far North",0,252
2020-05-26,"North",0,111
2020-05-26,"Not Assigned",0,0
2020-05-26,"Regina",0,76
2020-05-26,"Saskatoon",0,167
2020-05-26,"South (excluding Regina)",0,16
2020-05-27,"Central (excluding Saskatoon)",0,12
2020-05-27,"Far North",1,253
2020-05-27,"North",0,111
2020-05-27,"Not Assigned",0,0
2020-05-27,"Regina",2,78
2020-05-27,"Saskatoon",0,167
2020-05-27,"South (excluding Regina)",0,16
2020-05-28,"Central (excluding Saskatoon)",0,12
2020-05-28,"Far North",0,253
2020-05-28,"North",1,112
2020-05-28,"Not Assigned",0,0
2020-05-28,"Regina",0,78
2020-05-28,"Saskatoon",1,168
2020-05-28,"South (excluding Regina)",0,16
2020-05-29,"Central (excluding Saskatoon)",0,12
2020-05-29,"Far North",0,253
2020-05-29,"North",0,112
2020-05-29,"Not Assigned",0,0
2020-05-29,"Regina",0,78
2020-05-29,"Saskatoon",1,169
2020-05-29,"South (excluding Regina)",1,17
2020-05-30,"Central (excluding Saskatoon)",0,12
2020-05-30,"Far North",3,256
2020-05-30,"North",0,112
2020-05-30,"Not Assigned",0,0
2020-05-30,"Regina",1,79
2020-05-30,"Saskatoon",0,169
2020-05-30,"South (excluding Regina)",0,17
2020-05-31,"Central (excluding Saskatoon)",0,12
2020-05-31,"Far North",0,256
2020-05-31,"North",0,112
2020-05-31,"Not Assigned",0,0
2020-05-31,"Regina",1,80
2020-05-31,"Saskatoon",0,169
2020-05-31,"South (excluding Regina)",0,17
2020-06-01,"Central (excluding Saskatoon)",0,12
2020-06-01,"Far North",0,256
2020-06-01,"North",0,112
2020-06-01,"Not Assigned",0,0
2020-06-01,"Regina",1,80
2020-06-01,"Saskatoon",0,169
2020-06-01,"South (excluding Regina)",0,17
2020-06-02,"Central (excluding Saskatoon)",0,12
2020-06-02,"Far North",0,256
2020-06-02,"North",0,112
2020-06-02,"Not Assigned",0,0
2020-06-02,"Regina",0,80
2020-06-02,"Saskatoon",0,169
2020-06-02,"South (excluding Regina)",0,17
2020-06-03,"Central (excluding Saskatoon)",0,12
2020-06-03,"Far North",1,257
2020-06-03,"North",0,112
2020-06-03,"Not Assigned",0,0
2020-06-03,"Regina",0,80
2020-06-03,"Saskatoon",0,169
2020-06-03,"South (excluding Regina)",0,17
2020-06-04,"Central (excluding Saskatoon)",0,12
2020-06-04,"Far North",0,257
2020-06-04,"North",0,112
2020-06-04,"Not Assigned",0,0
2020-06-04,"Regina",0,80
2020-06-04,"Saskatoon",1,170
2020-06-04,"South (excluding Regina)",0,17
2020-06-05,"Central (excluding Saskatoon)",0,12
2020-06-05,"Far North",1,258
2020-06-05,"North",0,112
2020-06-05,"Not Assigned",0,0
2020-06-05,"Regina",0,80
2020-06-05,"Saskatoon",0,170
2020-06-05,"South (excluding Regina)",0,17
2020-06-06,"Central (excluding Saskatoon)",0,12
2020-06-06,"Far North",1,259
2020-06-06,"North",0,112
2020-06-06,"Not Assigned",0,0
2020-06-06,"Regina",0,80
2020-06-06,"Saskatoon",0,170
2020-06-06,"South (excluding Regina)",0,17
2020-06-07,"Central (excluding Saskatoon)",0,12
2020-06-07,"Far North",0,259
2020-06-07,"North",0,112
2020-06-07,"Not Assigned",0,0
2020-06-07,"Regina",0,80
2020-06-07,"Saskatoon",0,170
2020-06-07,"South (excluding Regina)",0,17
2020-06-08,"Central (excluding Saskatoon)",0,12
2020-06-08,"Far North",1,260
2020-06-08,"North",0,112
2020-06-08,"Not Assigned",0,0
2020-06-08,"Regina",0,80
2020-06-08,"Saskatoon",3,173
2020-06-08,"South (excluding Regina)",0,17
2020-06-09,"Central (excluding Saskatoon)",0,12
2020-06-09,"Far North",1,261
2020-06-09,"North",0,112
2020-06-09,"Not Assigned",0,0
2020-06-09,"Regina",0,80
2020-06-09,"Saskatoon",1,174
2020-06-09,"South (excluding Regina)",0,17
2020-06-10,"Central (excluding Saskatoon)",0,12
2020-06-10,"Far North",0,261
2020-06-10,"North",0,112
2020-06-10,"Not Assigned",0,0
2020-06-10,"Regina",0,80
2020-06-10,"Saskatoon",1,175
2020-06-10,"South (excluding Regina)",1,18
2020-06-11,"Central (excluding Saskatoon)",0,12
2020-06-11,"Far North",1,262
2020-06-11,"North",0,112
2020-06-11,"Not Assigned",0,0
2020-06-11,"Regina",0,80
2020-06-11,"Saskatoon",1,176
2020-06-11,"South (excluding Regina)",0,18
2020-06-12,"Central (excluding Saskatoon)",0,12
2020-06-12,"Far North",1,263
2020-06-12,"North",0,112
2020-06-12,"Not Assigned",0,0
2020-06-12,"Regina",0,80
2020-06-12,"Saskatoon",1,177
2020-06-12,"South (excluding Regina)",1,19
2020-06-13,"Central (excluding Saskatoon)",0,12
2020-06-13,"Far North",1,264
2020-06-13,"North",0,112
2020-06-13,"Not Assigned",0,0
2020-06-13,"Regina",0,80
2020-06-13,"Saskatoon",0,177
2020-06-13,"South (excluding Regina)",0,19
2020-06-14,"Central (excluding Saskatoon)",0,12
2020-06-14,"Far North",0,264
2020-06-14,"North",0,112
2020-06-14,"Not Assigned",0,0
2020-06-14,"Regina",0,80
2020-06-14,"Saskatoon",1,178
2020-06-14,"South (excluding Regina)",0,19
2020-06-15,"Central (excluding Saskatoon)",0,12
2020-06-15,"Far North",13,277
2020-06-15,"North",0,112
2020-06-15,"Not Assigned",2,2
2020-06-15,"Regina",0,80
2020-06-15,"Saskatoon",3,181
2020-06-15,"South (excluding Regina)",0,19
2020-06-16,"Central (excluding Saskatoon)",0,12
2020-06-16,"Far North",0,277
